title,score,episode,aired,user
Mononoke Hime,8.67,Movie (1 eps),Jul 1997 - Jul 1997,"1,200,839 members"
Violet Evergarden,8.67,TV (13 eps),Jan 2018 - Apr 2018,"1,694,316 members"
Hajime no Ippo: New Challenger,8.66,TV (26 eps),Jan 2009 - Jul 2009,"270,797 members"
Howl no Ugoku Shiro,8.66,Movie (1 eps),Nov 2004 - Nov 2004,"1,267,553 members"
Made in Abyss,8.66,TV (13 eps),Jul 2017 - Sep 2017,"1,308,803 members"
Made in Abyss: Retsujitsu no Ougonkyou,8.66,TV (12 eps),Jul 2022 - Sep 2022,"395,343 members"
Mushishi,8.66,TV (26 eps),Oct 2005 - Jun 2006,"799,539 members"
Natsume Yuujinchou Shi,8.65,TV (13 eps),Jan 2012 - Mar 2012,"237,865 members"
Shigatsu wa Kimi no Uso,8.65,TV (22 eps),Oct 2014 - Mar 2015,"2,128,733 members"
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.64,TV (12 eps),Apr 2020 - Jun 2020,"1,273,215 members"
Haikyuu!! Second Season,8.63,TV (25 eps),Oct 2015 - Mar 2016,"1,372,145 members"
Jujutsu Kaisen,8.63,TV (24 eps),Oct 2020 - Mar 2021,"2,299,481 members"
Tengen Toppa Gurren Lagann,8.63,TV (27 eps),Apr 2007 - Sep 2007,"1,558,018 members"
Death Note,8.62,TV (37 eps),Oct 2006 - Jun 2007,"3,744,680 members"
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.62,ONA (14 eps),Dec 2022 - Dec 2022,"159,823 members"
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.62,Movie (1 eps),Jan 2020 - Jan 2020,"429,982 members"
Natsume Yuujinchou Roku,8.62,TV (11 eps),Apr 2017 - Jun 2017,"179,344 members"
Ping Pong the Animation,8.62,TV (11 eps),Apr 2014 - Jun 2014,"377,995 members"
Shingeki no Kyojin Season 3,8.62,TV (12 eps),Jul 2018 - Oct 2018,"2,237,015 members"
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.61,Movie (1 eps),Oct 2020 - Oct 2020,"1,428,876 members"
Suzumiya Haruhi no Shoushitsu,8.61,Movie (1 eps),Feb 2010 - Feb 2010,"593,291 members"
Mushoku Tensei II: Isekai Ittara Honki Dasu,8.60,TV (12 eps),Jul 2023 -,"329,303 members"
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.60,Movie (1 eps),Jun 2019 - Jun 2019,"673,368 members"
Spy x Family,8.60,TV (12 eps),Apr 2022 - Jun 2022,"1,383,820 members"
Cyberpunk: Edgerunners,8.60,ONA (10 eps),Sep 2022 - Sep 2022,"610,821 members"
Evangelion: 3.0+1.0 Thrice Upon a Time,8.60,Movie (1 eps),Mar 2021 - Mar 2021,"351,899 members"
Hajime no Ippo: Rising,8.60,TV (25 eps),Oct 2013 - Mar 2014,"244,747 members"
Mushishi Zoku Shou: Suzu no Shizuku,8.59,Movie (1 eps),May 2015 - May 2015,"124,028 members"
Ookami Kodomo no Ame to Yuki,8.58,Movie (1 eps),Jul 2012 - Jul 2012,"788,724 members"
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,TV (39 eps),Oct 2018 - Jul 2019,"969,594 members"
Chainsaw Man,8.57,TV (12 eps),Oct 2022 - Dec 2022,"1,318,874 members"
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,Movie (1 eps),Apr 2009 - Apr 2009,"208,518 members"
Kenpuu Denki Berserk,8.57,TV (25 eps),Oct 1997 - Apr 1998,"616,686 members"
Kizumonogatari II: Nekketsu-hen,8.57,Movie (1 eps),Aug 2016 - Aug 2016,"428,438 members"
Natsume Yuujinchou Go,8.57,TV (11 eps),Oct 2016 - Dec 2016,"178,605 members"
Natsume Yuujinchou San,8.57,TV (13 eps),Jul 2011 - Sep 2011,"245,099 members"
Shouwa Genroku Rakugo Shinjuu,8.57,TV (13 eps),Jan 2016 - Apr 2016,"283,140 members"
Kimi no Suizou wo Tabetai,8.56,Movie (1 eps),Sep 2018 - Sep 2018,"908,007 members"
Yojouhan Shinwa Taikei,8.56,TV (11 eps),Apr 2010 - Jul 2010,"433,086 members"
Zoku Natsume Yuujinchou,8.55,TV (13 eps),Jan 2009 - Mar 2009,"241,232 members"
Fate/Zero 2nd Season,8.55,TV (12 eps),Apr 2012 - Jun 2012,"1,082,615 members"
Fruits Basket 2nd Season,8.55,TV (25 eps),Apr 2020 - Sep 2020,"477,664 members"
Neon Genesis Evangelion: The End of Evangelion,8.55,Movie (1 eps),Jul 1997 - Jul 1997,"889,007 members"
Shoujo☆Kageki Revue Starlight Movie,8.55,Movie (1 eps),Jun 2021 - Jun 2021,"16,774 members"
Mushishi: Hihamukage,8.54,Special (1 eps),Jan 2014 - Jan 2014,"134,444 members"
Nana,8.54,TV (47 eps),Apr 2006 - Mar 2007,"627,164 members"
Ousama Ranking,8.54,TV (23 eps),Oct 2021 - Mar 2022,"589,993 members"
Perfect Blue,8.54,Movie (1 eps),Feb 1998 - Feb 1998,"663,927 members"
Shingeki no Kyojin,8.54,TV (25 eps),Apr 2013 - Sep 2013,"3,776,539 members"
Slam Dunk,8.54,TV (101 eps),Oct 1993 - Mar 1996,"286,506 members"
Haikyuu!! To the Top Part 2,8.54,TV (12 eps),Oct 2020 - Dec 2020,"766,605 members"
Bakuman. 3rd Season,8.53,TV (25 eps),Oct 2012 - Mar 2013,"322,650 members"
Yuru Camp△ Season 2,8.53,TV (13 eps),Jan 2021 - Apr 2021,"208,865 members"
Steins;Gate 0,8.53,TV (23 eps),Apr 2018 - Sep 2018,"837,201 members"
Kara no Kyoukai Movie 5: Mujun Rasen,8.52,Movie (1 eps),Aug 2008 - Aug 2008,"232,319 members"
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52,TV (26 eps),Jan 2004 - Jan 2005,"221,880 members"
Sora yori mo Tooi Basho,8.52,TV (13 eps),Jan 2018 - Mar 2018,"483,339 members"
Gintama Movie 1: Shinyaku Benizakura-hen,8.52,Movie (1 eps),Apr 2010 - Apr 2010,"158,480 members"
Gintama.: Porori-hen,8.52,TV (13 eps),Oct 2017 - Dec 2017,"193,156 members"
Hotaru no Haka,8.51,Movie (1 eps),Apr 1988 - Apr 1988,"644,028 members"
Karakai Jouzu no Takagi-san Movie,8.51,Movie (1 eps),Jun 2022 - Jun 2022,"62,347 members"
Mo Dao Zu Shi: Wanjie Pian,8.51,ONA (12 eps),Aug 2021 - Oct 2021,"73,970 members"
Samurai Champloo,8.51,TV (26 eps),May 2004 - Mar 2005,"1,195,934 members"
Shingeki no Kyojin Season 2,8.51,TV (12 eps),Apr 2017 - Jun 2017,"2,591,466 members"
Summertime Render,8.51,TV (25 eps),Apr 2022 - Sep 2022,"456,780 members"
Yakusoku no Neverland,8.51,TV (12 eps),Jan 2019 - Mar 2019,"1,884,263 members"
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.50,Movie (1 eps),Jan 2019 - Jan 2019,"369,223 members"
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,TV (39 eps),Apr 2016 - Dec 2016,"1,067,998 members"
Kimetsu no Yaiba,8.50,TV (26 eps),Apr 2019 - Sep 2019,"2,849,882 members"
One Punch Man,8.50,TV (12 eps),Oct 2015 - Dec 2015,"3,085,073 members"
Mob Psycho 100,8.49,TV (12 eps),Jul 2016 - Sep 2016,"1,976,562 members"
